Question,Answer
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
Which champion's ultimate ability is 'Ragnarok'?," ""Olaf"""
What is the name of the item that provides bonus ability power and mana regeneration?," ""Archangel's Staff"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Demonic Embrace'?," ""Deals damage over time based on enemy's maximum health"""
Which champion has the ability 'Solar Flare'?," ""Leona"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Duelist's Dance', dealing bonus damage on critical strikes?"," ""Fiora"""
What is the name of the item that provides bonus attack damage and crit chance?," ""Infinity Edge"""
Which champion can teleport to allies with the ability 'Relocate'?," ""Jhin"""
What is the main function of the item 'Fimbulwinter'?," ""Grants bonus health and mana regeneration"""
Which champion has the ability 'Shuriken Flip'?," ""Shuriken"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Harsh Lesson', increasing damage dealt to marked targets?"," ""Rengar"""
What is the name of the item that grants bonus ability power and magic penetration?," ""Liandry's Anguish"""
Which champion can steal health with the ability 'Ghoulish Wail'?," ""Yorick"""
What is the main function of the item 'Frostfire Gauntlet'?," ""Provides bonus health and deals area damage on auto attacks"""
Which champion has the ability 'Rapid Fire'?," ""Jhin"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive ability is 'Frostbite', dealing bonus damage after a slow effect?"," ""Lissandra"""
What is the name of the item that grants bonus attack speed and crit chance?," ""Rapid Firecannon"""
Which champion can knock up enemies with the ability 'Unstoppable Onslaught'?," ""Sion"""
What is the main function of the item 'Sunfire Aegis'?," ""Provides bonus health and deals area damage"""
Which champion has the ability 'Trueshot Barrage'?," ""Ezreal"""
What is the cooldown of the summoner spell 'Clarity'?," ""No longer available"""
"Which champion's passive ability is 'Leeching Strike', healing on hit?"," ""Warwick"""
What is the name of the item that grants bonus attack damage and mana regeneration?," ""Ravenous Hydra"""
Which champion can apply Grievous Wounds with the ability 'Viral Infection'?," ""Kog'Maw"""
What is the main function of the item 'Serpent's Fang'?," ""Provides lethality and breaks shields"""
Which champion has the ability 'The Culling'?," ""Lucian"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'Frostborn's Fury', applying a slow effect on auto attacks?"," ""Ashe"""
What is the name of the item that grants bonus health and cooldown reduction?," ""Gargoyle Stoneplate"""
Which champion can provide a shield with the ability 'Shield of Duran'?," ""Alistar"""
What is the main function of the item 'Moonstone Renewer'?," ""Provides bonus healing to allies and health regeneration"""
Which champion has the ability 'Death Sentence'?," ""Thresh"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Grit', increasing health and attack speed?"," ""Ornn"""
What is the name of the item that grants bonus ability power and health regeneration?," ""Warmog's Armor"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Frostfire Gauntlet'?," ""Provides bonus health and deals area damage on auto attacks"""
Which champion has the ability 'Celestial Passage'?," ""Gnar"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Abyssal Dive', dealing damage and applying Grievous Wounds?"," ""Kog'Maw"""
What is the name of the item that grants bonus attack damage and crit chance?," ""Infinity Edge"""
Which champion can knock back enemies with the ability 'Headbutt'?," ""Alistar"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Provides lethality and invisibility on kill"""
Which champion has the ability 'Frost Shot'?," ""Ashe"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Starfall', dealing bonus damage based on maximum health?"," ""Soraka"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion can apply Grievous Wounds with the ability 'Viral Infection'?," ""Kog'Maw"""
What is the main function of the item 'Moonstone Renewer'?," ""Provides healing and bonus stats to allies"""
Which champion has the ability 'Unstoppable Onslaught'?," ""Sion"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Frostbite', dealing bonus damage after a slow effect?"," ""Lissandra"""
What is the name of the item that grants bonus ability power and magic penetration?," ""Liandry's Anguish"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Riftmaker'?," ""Deals additional damage based on enemy's max health and provides omnivamp"""
Which champion has the ability 'Shadow Assault'?," ""Zed"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Grit', increasing health and attack speed?"," ""Ornn"""
What is the name of the item that grants bonus attack damage and bonus health?," ""Black Cleaver"""
Which champion can knock back enemies with the ability 'Headbutt'?," ""Alistar"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Provides lethality and invisibility on kill"""
Which champion has the ability 'Blighted Quiver'?," ""Kog'Maw"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Immortal Shieldbow', providing a shield on low health?"," ""Aphelios"""
What is the name of the item that grants bonus ability power and magic penetration?," ""Void Staff"""
Which champion can apply a slow effect with the ability 'Toxic Shot'?," ""Twitch"""
What is the main function of the item 'Moonstone Renewer'?," ""Provides healing and bonus stats to allies"""
Which champion has the ability 'Unstoppable Onslaught'?," ""Sion"""
What is the cooldown of the summoner spell 'Clarity'?," ""No longer available"""
"Which champion's passive ability is 'Living Shadow', duplicating their abilities?"," ""Zed"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Frostfire Gauntlet'?," ""Provides bonus health and deals area damage on auto attacks"""
Which champion has the ability 'Celestial Passage'?," ""Gnar"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Abyssal Dive', dealing damage and applying Grievous Wounds?"," ""Kog'Maw"""
What is the name of the item that grants bonus attack damage and crit chance?," ""Infinity Edge"""
Which champion can knock back enemies with the ability 'Headbutt'?," ""Alistar"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Provides lethality and invisibility on kill"""
Which champion has the ability 'Frost Shot'?," ""Ashe"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Starfall', dealing bonus damage based on maximum health?"," ""Soraka"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion can apply Grievous Wounds with the ability 'Viral Infection'?," ""Kog'Maw"""
What is the main function of the item 'Moonstone Renewer'?," ""Provides healing and bonus stats to allies"""
Which champion has the ability 'Unstoppable Onslaught'?," ""Sion"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Frostbite', dealing bonus damage after a slow effect?"," ""Lissandra"""
What is the name of the item that grants bonus ability power and magic penetration?," ""Liandry's Anguish"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Riftmaker'?," ""Deals additional damage based on enemy's max health and provides omnivamp"""
Which champion has the ability 'Shadow Assault'?," ""Zed"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Grit', increasing health and attack speed?"," ""Ornn"""
What is the name of the item that grants bonus attack damage and bonus health?," ""Black Cleaver"""
Which champion can knock back enemies with the ability 'Headbutt'?," ""Alistar"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Provides lethality and invisibility on kill"""
Which champion has the ability 'Blighted Quiver'?," ""Kog'Maw"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Immortal Shieldbow', providing a shield on low health?"," ""Aphelios"""
What is the name of the item that grants bonus ability power and magic penetration?," ""Void Staff"""
Which champion can apply a slow effect with the ability 'Toxic Shot'?," ""Twitch"""
What is the main function of the item 'Moonstone Renewer'?," ""Provides healing and bonus stats to allies"""
Which champion has the ability 'Unstoppable Onslaught'?," ""Sion"""
What is the cooldown of the summoner spell 'Clarity'?," ""No longer available"""
"Which champion's passive ability is 'Living Shadow', duplicating their abilities?"," ""Zed"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Frostfire Gauntlet'?," ""Provides bonus health and deals area damage on auto attacks"""
What is the name of Jinx's Q ability?," ""Switcheroo!"""
Which champion is known as 'The Radiant Dawn'?," ""Dawnbringer Riven"""
What is the effect of the 'Elder Dragon' buff?," ""Grants bonus damage and a large area-of-effect burn on kills"""
Which champion can transform into a dragon with the ability 'Dragon's Descent'?," ""Shyvana"""
What is the name of the item that grants bonus attack damage and bonus health?," ""Black Cleaver"""
"Which champion's passive ability is 'Frenzy', stacking attack speed?"," ""Kog'Maw"""
What is the main function of the item 'Serylda's Grudge'?," ""Provides bonus armor penetration and applies a slow"""
Which champion can summon a protective barrier with the ability 'Bastion'?," ""Janna"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
Which champion's ultimate ability is 'Noxian Guillotine'?," ""Draven"""
What is the name of the item that provides bonus ability power and bonus health?," ""Riftmaker"""
Which champion can apply a burn effect with the ability 'Fire Breath'?," ""Shyvana"""
What is the main function of the item 'Cosmic Drive'?," ""Provides bonus movement speed and ability power"""
Which champion has the ability 'Frost Shot'?," ""Ashe"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Vampiric Shot', healing on hit?"," ""Vayne"""
What is the name of the item that grants bonus attack speed and critical strike chance?," ""Rapid Firecannon"""
Which champion can grant bonus health and mana with the ability 'Inspire'?," ""Karma"""
What is the main function of the item 'Kraken Slayer'?," ""Provides bonus attack damage and critical strike chance"""
Which champion has the ability 'Voracious Assault'?," ""Kog'Maw"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Dragon Slayer', dealing bonus damage to dragons?"," ""Shyvana"""
What is the name of the item that provides bonus attack damage and cooldown reduction?," ""Sterak's Gage"""
Which champion can stun enemies with the ability 'Impale'?," ""Nocturne"""
What is the main function of the item 'Grievous Wounds'?," ""Reduces enemy healing effects"""
Which champion has the ability 'Cannon Barrage'?," ""Gangplank"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Champion's Stride', gaining bonus movement speed on hit?"," ""Sett"""
What is the name of the item that grants bonus ability power and health regeneration?," ""Warmog's Armor"""
Which champion can knock up enemies with the ability 'Noxian Corrosive Charge'?," ""Singed"""
What is the main function of the item 'Zhonya's Hourglass'?," ""Provides a stasis effect and bonus ability power"""
Which champion has the ability 'Solar Flare'?," ""Leona"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'The Darkin Blade', dealing bonus damage on hit?"," ""Aatrox"""
What is the name of the item that grants bonus attack damage and armor penetration?," ""Duskblade of Draktharr"""
Which champion can pull enemies with the ability 'Hookshot'?," ""Camille"""
What is the main function of the item 'Crown of the Shattered Queen'?," ""Provides bonus health and ability power"""
Which champion has the ability 'Moonfall'?," ""Diana"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'The Relentless Storm', gaining bonus attack speed?"," ""Volibear"""
What is the name of the item that grants bonus attack damage and bonus health?," ""Black Cleaver"""
Which champion can slow enemies with the ability 'Glacial Augment'?," ""Lissandra"""
What is the main function of the item 'Abyssal Mask'?," ""Increases magic damage taken by nearby enemies"""
Which champion has the ability 'Deicide'?," ""Karthus"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Frostbite', applying bonus damage after a slow effect?"," ""Lissandra"""
What is the name of the item that grants bonus ability power and mana regeneration?," ""Archangel's Staff"""
Which champion can provide a shield with the ability 'Inspire'?," ""Karma"""
What is the main function of the item 'Demonic Embrace'?," ""Deals additional damage over time based on enemy's max health"""
Which champion has the ability 'Whirling Death'?," ""Draven"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'Relentless Storm', gaining bonus attack speed?"," ""Volibear"""
What is the name of the item that grants bonus attack damage and lifesteal?," ""Ravenous Hydra"""
Which champion can apply Grievous Wounds with the ability 'Noxian Corrosive Charge'?," ""Singed"""
What is the main function of the item 'Liandry's Anguish'?," ""Deals damage over time based on enemy's maximum health"""
Which champion has the ability 'Fury of the Sands'?," ""Nasus"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive ability is 'Blade Waltz', dealing bonus damage on critical strikes?"," ""Fiora"""
What is the name of the item that provides bonus attack damage and critical strike chance?," ""Infinity Edge"""
Which champion can teleport to allies with the ability 'Gatecrash'?," ""Kennen"""
What is the main function of the item 'Warmog's Armor'?," ""Grants massive health regeneration out of combat"""
Which champion has the ability 'Tornado'?," ""Janna"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Plague Doctor', dealing damage over time?"," ""Teemo"""
What is the name of the item that grants bonus ability power and magic penetration?," ""Void Staff"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the main function of the item 'Guardian Angel'?," ""Revives the wearer upon death"""
Which champion has the ability 'Tidal Wave'?," ""Nami"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'Harsh Lesson', increasing damage dealt to marked targets?"," ""Rengar"""
What is the name of the item that provides bonus attack damage and cooldown reduction?," ""Sterak's Gage"""
Which champion can grant bonus health with the ability 'Inspire'?," ""Karma"""
What is the main function of the item 'Serylda's Grudge'?," ""Provides armor penetration and applies a slow effect"""
Which champion has the ability 'Wild Growth'?," ""Lulu"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Reckoning', dealing bonus damage on critical strikes?"," ""Kayle"""
What is the name of the item that grants bonus ability power and health regeneration?," ""Warmog's Armor"""
Which champion can pull enemies with the ability 'Rocket Grab'?," ""Blitzcrank"""
What is the main function of the item 'Cosmic Drive'?," ""Provides movement speed and ability power"""
Which champion has the ability 'Silencing Strike'?," ""Katarina"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Ferocity', dealing bonus damage on every third attack?"," ""Rengar"""
What is the name of the item that provides bonus attack speed and critical strike chance?," ""Rapid Firecannon"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Provides lethality and invisibility on kill"""
Which champion has the ability 'Righteous Fury'?," ""Kayle"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Voracious Assault', dealing bonus damage to low health enemies?"," ""Kog'Maw"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion can knock back enemies with the ability 'Headbutt'?," ""Alistar"""
What is the main function of the item 'Frostfire Gauntlet'?," ""Provides bonus health and deals area damage on auto attacks"""
Which champion has the ability 'Shadow Assault'?," ""Zed"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Grit', increasing health and attack speed?"," ""Ornn"""
What is the name of the item that grants bonus attack damage and bonus health?," ""Black Cleaver"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the main function of the item 'Riftmaker'?," ""Deals additional damage based on enemy's max health and provides omnivamp"""
Which champion has the ability 'Moonfall'?," ""Diana"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'The Darkin Blade', dealing bonus damage on hit?"," ""Aatrox"""
What is the name of the item that provides bonus ability power and bonus health?," ""Riftmaker"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Zhonya's Hourglass'?," ""Provides a stasis effect and bonus ability power"""
Which champion has the ability 'Solar Flare'?," ""Leona"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Living Shadow', duplicating their abilities?"," ""Zed"""
What is the name of the item that grants bonus attack damage and lifesteal?," ""Ravenous Hydra"""
Which champion can apply Grievous Wounds with the ability 'Noxian Corrosive Charge'?," ""Singed"""
What is the main function of the item 'Demonic Embrace'?," ""Deals additional damage over time based on enemy's max health"""
Which champion has the ability 'Deicide'?," ""Karthus"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive ability is 'Plague Doctor', dealing damage over time?"," ""Teemo"""
What is the name of the item that provides bonus attack damage and cooldown reduction?," ""Sterak's Gage"""
Which champion can grant bonus health with the ability 'Inspire'?," ""Karma"""
What is the main function of the item 'Serylda's Grudge'?," ""Provides armor penetration and applies a slow effect"""
Which champion has the ability 'Wild Growth'?," ""Lulu"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'Reckoning', dealing bonus damage on critical strikes?"," ""Kayle"""
What is the name of the item that grants bonus ability power and health regeneration?," ""Warmog's Armor"""
Which champion can pull enemies with the ability 'Rocket Grab'?," ""Blitzcrank"""
What is the main function of the item 'Cosmic Drive'?," ""Provides movement speed and ability power"""
Which champion has the ability 'Silencing Strike'?," ""Katarina"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Ferocity', dealing bonus damage on every third attack?"," ""Rengar"""
What is the name of the item that provides bonus attack speed and critical strike chance?," ""Rapid Firecannon"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Provides lethality and invisibility on kill"""
Which champion has the ability 'Righteous Fury'?," ""Kayle"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Voracious Assault', dealing bonus damage to low health enemies?"," ""Kog'Maw"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion can knock back enemies with the ability 'Headbutt'?," ""Alistar"""
What is the main function of the item 'Frostfire Gauntlet'?," ""Provides bonus health and deals area damage on auto attacks"""
Which champion has the ability 'Shadow Assault'?," ""Zed"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Grit', increasing health and attack speed?"," ""Ornn"""
What is the name of the item that grants bonus attack damage and bonus health?," ""Black Cleaver"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the main function of the item 'Riftmaker'?," ""Deals additional damage based on enemy's max health and provides omnivamp"""
Which champion has the ability 'Moonfall'?," ""Diana"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'The Darkin Blade', dealing bonus damage on hit?"," ""Aatrox"""
What is the name of the item that provides bonus ability power and bonus health?," ""Riftmaker"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Zhonya's Hourglass'?," ""Provides a stasis effect and bonus ability power"""
Which champion has the ability 'Solar Flare'?," ""Leona"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Living Shadow', duplicating their abilities?"," ""Zed"""
What is the name of the item that grants bonus attack damage and lifesteal?," ""Ravenous Hydra"""
Which champion can apply Grievous Wounds with the ability 'Noxian Corrosive Charge'?," ""Singed"""
What is the main function of the item 'Demonic Embrace'?," ""Deals additional damage over time based on enemy's max health"""
Which champion has the ability 'Deicide'?," ""Karthus"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive ability is 'Plague Doctor', dealing damage over time?"," ""Teemo"""
What is the name of the item that provides bonus attack damage and cooldown reduction?," ""Sterak's Gage"""
Which champion can grant bonus health with the ability 'Inspire'?," ""Karma"""
What is the main function of the item 'Serylda's Grudge'?," ""Provides armor penetration and applies a slow effect"""
Which champion has the ability 'Wild Growth'?," ""Lulu"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'Reckoning', dealing bonus damage on critical strikes?"," ""Kayle"""
What is the name of the item that grants bonus ability power and health regeneration?," ""Warmog's Armor"""
Which champion can pull enemies with the ability 'Rocket Grab'?," ""Blitzcrank"""
What is the main function of the item 'Cosmic Drive'?," ""Provides movement speed and ability power"""
Which champion has the ability 'Silencing Strike'?," ""Katarina"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Ferocity', dealing bonus damage on every third attack?"," ""Rengar"""
What is the name of the item that provides bonus attack speed and critical strike chance?," ""Rapid Firecannon"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Provides lethality and invisibility on kill"""
Which champion has the ability 'Righteous Fury'?," ""Kayle"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Voracious Assault', dealing bonus damage to low health enemies?"," ""Kog'Maw"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion can knock back enemies with the ability 'Headbutt'?," ""Alistar"""
What is the main function of the item 'Frostfire Gauntlet'?," ""Provides bonus health and deals area damage on auto attacks"""
Which champion has the ability 'Shadow Assault'?," ""Zed"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Grit', increasing health and attack speed?"," ""Ornn"""
What is the name of the item that grants bonus attack damage and bonus health?," ""Black Cleaver"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the main function of the item 'Riftmaker'?," ""Deals additional damage based on enemy's max health and provides omnivamp"""
Which champion has the ability 'Moonfall'?," ""Diana"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'The Darkin Blade', dealing bonus damage on hit?"," ""Aatrox"""
What is the name of the item that provides bonus ability power and bonus health?," ""Riftmaker"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Zhonya's Hourglass'?," ""Provides a stasis effect and bonus ability power"""
Which champion has the ability 'Solar Flare'?," ""Leona"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Living Shadow', duplicating their abilities?"," ""Zed"""
What is the name of the item that grants bonus attack damage and lifesteal?," ""Ravenous Hydra"""
Which champion can apply Grievous Wounds with the ability 'Noxian Corrosive Charge'?," ""Singed"""
What is the main function of the item 'Demonic Embrace'?," ""Deals additional damage over time based on enemy's max health"""
Which champion has the ability 'Deicide'?," ""Karthus"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive ability is 'Plague Doctor', dealing damage over time?"," ""Teemo"""
What is the name of the item that provides bonus attack damage and cooldown reduction?," ""Sterak's Gage"""
Which champion can grant bonus health with the ability 'Inspire'?," ""Karma"""
What is the main function of the item 'Serylda's Grudge'?," ""Provides armor penetration and applies a slow effect"""
Which champion has the ability 'Wild Growth'?," ""Lulu"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'Reckoning', dealing bonus damage on critical strikes?"," ""Kayle"""
What is the name of the item that grants bonus ability power and health regeneration?," ""Warmog's Armor"""
Which champion can pull enemies with the ability 'Rocket Grab'?," ""Blitzcrank"""
What is the main function of the item 'Cosmic Drive'?," ""Provides movement speed and ability power"""
Which champion has the ability 'Silencing Strike'?," ""Katarina"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Ferocity', dealing bonus damage on every third attack?"," ""Rengar"""
What is the name of the item that provides bonus attack speed and critical strike chance?," ""Rapid Firecannon"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Provides lethality and invisibility on kill"""
Which champion has the ability 'Righteous Fury'?," ""Kayle"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Voracious Assault', dealing bonus damage to low health enemies?"," ""Kog'Maw"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion can knock back enemies with the ability 'Headbutt'?," ""Alistar"""
What is the main function of the item 'Frostfire Gauntlet'?," ""Provides bonus health and deals area damage on auto attacks"""
Which champion has the ability 'Shadow Assault'?," ""Zed"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Grit', increasing health and attack speed?"," ""Ornn"""
What is the name of the item that grants bonus attack damage and bonus health?," ""Black Cleaver"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the main function of the item 'Riftmaker'?," ""Deals additional damage based on enemy's max health and provides omnivamp"""
Which champion has the ability 'Moonfall'?," ""Diana"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'The Darkin Blade', dealing bonus damage on hit?"," ""Aatrox"""
What is the name of the item that provides bonus ability power and bonus health?," ""Riftmaker"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Zhonya's Hourglass'?," ""Provides a stasis effect and bonus ability power"""
Which champion has the ability 'Solar Flare'?," ""Leona"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Living Shadow', duplicating their abilities?"," ""Zed"""
What is the name of the item that grants bonus attack damage and lifesteal?," ""Ravenous Hydra"""
Which champion can apply Grievous Wounds with the ability 'Noxian Corrosive Charge'?," ""Singed"""
What is the main function of the item 'Demonic Embrace'?," ""Deals additional damage over time based on enemy's max health"""
Which champion has the ability 'Deicide'?," ""Karthus"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive ability is 'Plague Doctor', dealing damage over time?"," ""Teemo"""
What is the name of the item that provides bonus attack damage and cooldown reduction?," ""Sterak's Gage"""
Which champion can grant bonus health with the ability 'Inspire'?," ""Karma"""
What is the main function of the item 'Serylda's Grudge'?," ""Provides armor penetration and applies a slow effect"""
Which champion has the ability 'Wild Growth'?," ""Lulu"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'Reckoning', dealing bonus damage on critical strikes?"," ""Kayle"""
What is the name of the item that grants bonus ability power and health regeneration?," ""Warmog's Armor"""
Which champion can pull enemies with the ability 'Rocket Grab'?," ""Blitzcrank"""
What is the main function of the item 'Cosmic Drive'?," ""Provides movement speed and ability power"""
Which champion has the ability 'Silencing Strike'?," ""Katarina"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Ferocity', dealing bonus damage on every third attack?"," ""Rengar"""
What is the name of the item that provides bonus attack speed and critical strike chance?," ""Rapid Firecannon"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Provides lethality and invisibility on kill"""
Which champion has the ability 'Righteous Fury'?," ""Kayle"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Voracious Assault', dealing bonus damage to low health enemies?"," ""Kog'Maw"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion can knock back enemies with the ability 'Headbutt'?," ""Alistar"""
What is the main function of the item 'Frostfire Gauntlet'?," ""Provides bonus health and deals area damage on auto attacks"""
Which champion has the ability 'Shadow Assault'?," ""Zed"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Grit', increasing health and attack speed?"," ""Ornn"""
What is the name of the item that grants bonus attack damage and bonus health?," ""Black Cleaver"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the main function of the item 'Riftmaker'?," ""Deals additional damage based on enemy's max health and provides omnivamp"""
